               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.024041,            0.010717,                   0,             0.95252,             0.96091,             0.97812,             0.64209,            0.024821,           0.0091808,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.023984,            0.010423,                   0,             0.96074,             0.94856,             0.97976,             0.65049,            0.024854,           0.0092753,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.024003,            0.010727,                   0,             0.95072,             0.95265,             0.97791,             0.64694,             0.02489,           0.0091443,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023997,              0.0108,                   0,             0.95507,              0.9623,             0.97982,             0.64722,            0.024916,           0.0091042,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023348,              0.0105,                   0,             0.96245,             0.94931,              0.9772,             0.63836,            0.025411,           0.0092623,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.023647,            0.010656,                   0,             0.95662,             0.96502,             0.98092,             0.65234,            0.024597,           0.0091082,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.023235,            0.010075,                   0,             0.96153,             0.95267,             0.97614,             0.64902,            0.024616,           0.0091706,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023807,            0.010652,                   0,             0.95471,             0.95421,             0.97838,              0.6462,            0.024997,           0.0092372,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.022694,            0.010153,                   0,             0.94739,             0.96339,             0.97544,             0.64838,            0.024815,           0.0091315,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.02335,            0.010175,                   0,              0.9583,             0.96091,             0.97859,             0.65098,            0.024712,           0.0090764,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.023635,            0.010119,                   0,             0.96471,             0.95623,             0.97729,             0.64761,            0.024899,           0.0092835,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.023391,            0.010215,                   0,             0.95755,             0.95679,             0.97895,             0.65193,            0.024716,           0.0091504,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.022831,            0.010199,                   0,             0.95874,             0.95629,             0.97744,             0.64613,            0.024683,           0.0092049,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022926,            0.010005,                   0,             0.95544,             0.95062,             0.97413,             0.64925,            0.024827,           0.0093311,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.022839,            0.010364,                   0,             0.95789,             0.96296,             0.97901,             0.66097,            0.024295,           0.0091611,                   0,             0.00208,             0.00208,             0.00208
